policy,mode,delivery_ratio_avg,p95_latency_ms_avg,goodput_mbps_avg,reward_avg
ecmp,light,1.0,49.93594964593283,13.6368,0.5928561227701032
ecmp,medium,1.0,110.78107836964459,15.1096,0.6058532770844302
ecmp,heavy,0.9972304861473397,405.35359401560845,16.584,0.5783945783792099
ecmp,burst,0.8635689673444606,452.44131771156447,17.4528,0.5363413677089752
sp,light,1.0,49.93594964593283,13.6368,0.5928561227701032
sp,medium,1.0,110.78107836964459,15.1096,0.6058532770844302
sp,heavy,0.9972304861473397,405.35359401560845,16.584,0.5783945783792099
sp,burst,0.8635689673444606,452.44131771156447,17.4528,0.5363413677089752
stage1_2,light,1.0,47.99808276336957,13.6368,0.5921896165531246
stage1_2,medium,1.0,59.23424794616476,15.1096,0.6633272947188573
stage1_2,heavy,1.0,68.22905224615549,16.6304,0.7846808757925142
stage1_2,burst,0.8635689673444606,452.44131771156447,17.4528,0.5363413677089753
stage0,light,1.0,67.70294529910777,13.6368,0.5434364931642108
stage0,medium,1.0,68.128767026094,15.1096,0.6403286177451877
stage0,heavy,1.0,69.52860804474011,16.6304,0.7786489970249848
stage0,burst,1.0,94.6179503265966,20.2104,0.89031547621098
stage3,light,1.0,51.17745523557214,13.6368,0.5892289634315635
stage3,medium,1.0,58.152558956555424,15.1096,0.6653728082934103
stage3,heavy,1.0,61.49731141110438,16.6304,0.7874872755060005
stage3,burst,1.0,84.66050784299837,20.2104,0.8970131847321765
